batch_id,t1,t2,q1,t3,q2,t4,t5
f17f1ffd-e877-4e25-9fb9-397a0860f05b,2.289370,0.000072,0,0.076279,1,0.000274,2.022192
02d36185-535d-41b0-afcf-7d1f5216b868,2.107934,0.000150,0,0.079923,1,0.000456,1.932967
ce5a2ce6-93c4-455d-8e4a-8a13ad7aace7,2.161269,0.000126,0,0.100321,1,0.000937,1.854955
7b38219c-c83f-411f-a088-dd228f1c0240,1.976599,0.000140,0,0.190612,1,0.001060,1.892301
fd734de3-3f20-4b34-a1d3-7bb57e58c731,1.987224,0.000113,0,0.080602,1,0.001118,1.873295
62319f6a-4568-4f02-8ea2-08bb68981a89,1.967749,0.000065,0,0.167399,1,0.001029,1.910745
696445de-ed05-4506-b0a1-1e5b9adee928,1.912165,0.000085,0,0.080059,1,0.001343,1.944141
59bd3799-0435-46af-94db-b16864c4efbb,2.005461,0.000106,0,0.139389,1,0.003330,1.923543
df269f76-b896-47fa-bcf1-2655302bb1a4,1.986028,0.000098,0,0.107488,1,0.001286,1.866199
e5f8f676-9460-4caa-bb53-696bc507fd82,2.072986,0.000143,0,0.104451,1,0.000985,1.908797
40a8f615-007d-49c8-9240-3edf13f59fb2,2.124661,0.000101,0,0.082651,1,0.001091,1.952566
18aa4429-c370-432a-afca-b7ed676ded70,2.091486,0.000291,0,0.100851,1,0.001161,1.936690
33976e8b-9e8e-4820-905b-ed8cdc2b515e,2.073457,0.000138,0,0.104267,1,0.001083,2.013929
79e3dbc2-94be-4962-9fb2-aee251592843,1.951335,0.000108,0,0.117596,1,0.001350,2.009915
0b9f3357-b9f4-4e58-b985-08f46d84fa46,2.142110,0.000145,0,0.114338,1,0.001190,1.960957
e71ba09b-43b3-4a00-b5b1-9f7cbb819cdf,1.966588,0.000080,0,0.102532,1,0.001373,1.893257
91ddd3b5-f747-44c4-8176-7384c7ce4327,2.181589,0.000099,0,0.067019,1,0.005625,1.934610
8dc2a68d-6500-4c89-ab90-b2cef4fa7440,2.105081,0.000309,0,0.076052,1,0.001299,1.857405
07e22428-68b3-4f86-a737-b43b0bd08c39,1.911208,0.000064,0,0.139513,1,0.001143,1.959488
47042fce-b386-47f6-a058-b3e81175dc93,2.120759,0.000109,0,0.085796,1,0.001181,1.858229
bc7eea87-0bb2-47b7-8bad-607b40a15b78,2.079846,0.000108,0,0.113066,1,0.008112,1.926774
8cfc1492-e99f-43c6-a49d-538b6d3517cd,2.114433,0.000200,0,0.073049,1,0.001065,1.879038
78884ef5-5a42-4a45-9aeb-116b9a329b5f,2.103619,0.000112,0,0.075922,1,0.001295,1.859213
c87a1f8b-318e-41fe-8e5f-3f7731a5bb18,2.079879,0.000116,0,0.066361,1,0.001002,1.864618
698766ce-7dbb-438b-86ca-47657800d02c,2.079349,0.000083,0,0.074825,1,0.012591,1.838401
e52e3f0a-c900-4bd8-96f6-17fae18fa973,2.087785,0.000062,0,0.068264,1,0.001385,1.884715
