batch_id,t1,t2,q1,t3,q2,t4,t5
67538f61-5aa6-4266-9336-675d45f65864,1.721965,0.000076,0,0.088545,1,0.001002,1.586173
c930746d-a9ca-4bdb-bef1-aded0090e1ee,1.714529,0.000099,0,0.152733,1,0.003381,1.558823
7eb23fee-4c01-4b68-ab8a-7a139ef74209,1.583977,0.004332,0,0.092137,1,0.001817,1.619842
0a167615-76a4-46f5-b500-bce4eb2acef5,1.707932,0.000096,0,0.094754,1,0.000575,1.590554
a6d953f9-551c-4e07-937d-6142990d14c5,1.645090,0.000150,0,0.111017,1,0.001286,1.522665
61934163-395f-4ab4-84c8-2be86a471466,1.645125,0.000450,0,0.123501,1,0.001633,1.523220
4e6f8c85-58f1-47df-ba09-5efcfaba4486,1.563498,0.001282,0,0.093598,1,0.001191,1.536114
1679517a-7908-493c-88fd-13139e38cc92,1.632473,0.000072,0,0.083536,1,0.001505,1.484917
49283441-7ae2-49cc-ae8e-64a5428ed124,1.670749,0.001093,0,0.173229,1,0.001152,1.656965
bec8d008-a78c-4d3f-b876-fe861b3cc139,1.637203,0.000086,0,0.152487,1,0.000561,1.570349
a725f619-120c-4a8b-83a4-bf6872eb54b1,1.682276,0.000175,0,0.111163,1,0.001152,1.539668
a7f355bd-d039-4c54-8adf-274dbb11c3e6,1.578504,0.000107,0,0.164949,1,0.000582,1.689167
bc3a8046-3940-4a81-b3ee-d4aedf97b50b,1.631559,0.000093,0,0.091089,1,0.000970,1.612403
ac570496-b07b-42ef-b5d5-96a2e2254937,1.538014,0.002228,0,0.122185,1,0.000562,1.560468
c6625462-1880-4bcc-9be7-bc08b6231b4f,1.687798,0.000072,0,0.112537,1,0.000810,1.565315
44373896-20be-4f30-906b-d262eb03631a,1.651879,0.000141,0,0.104042,1,0.000552,1.610157
67b5a0d0-34fe-46df-9453-a05ce0f1e55a,1.590053,0.000078,0,0.088871,1,0.006342,1.538382
e8b9d5ed-9cbe-4fbd-9424-3c298f2a22e4,1.639993,0.000077,0,0.086310,1,0.001219,1.629174
4858502f-cffb-496c-b231-2f246cf171ec,1.583235,0.000093,0,0.094597,1,0.000577,1.578370
fe7e6e27-8f75-425c-8b58-704205effece,1.667163,0.000109,0,0.092453,1,0.000916,1.464967
617334c9-771a-4a66-b339-76dfeee467fa,1.746217,0.000134,0,0.083166,1,0.002092,1.506244
c46c7f7b-09c9-490a-bfc9-5bfb63e58ab6,1.645455,0.000376,0,0.101770,1,0.001130,1.580767
e2fc6128-3e1e-4111-8b2f-697cdd0c3fa4,1.622818,0.000077,0,0.097894,1,0.000546,1.509104
e6a80324-27a8-4b76-9ccb-23db8667eafc,1.643426,0.000954,0,0.114838,1,0.000976,1.570288
011655c5-9381-456d-bf87-38e99a956dae,1.631798,0.000133,0,0.108017,1,0.000582,1.580622
fc3acbfa-b140-4fd9-9fec-628322387ec9,1.488688,0.000105,0,0.082848,1,0.001271,1.551386
335e046a-67e1-4e8e-a8bd-9c9564c5ee8f,1.679870,0.000197,0,0.103648,1,0.000531,1.531541
d89b46d7-6a71-41c8-921a-d3357535359f,1.587619,0.000109,0,0.175127,1,0.001196,1.609078
0588ecb7-aace-4bd2-8ef0-3ab23da2a4e3,1.659261,0.000111,0,0.091494,1,0.000572,1.601921
be3be524-da3c-4c1d-acbc-3c696a070857,1.596985,0.000086,0,0.095143,1,0.000746,1.532860
da05a088-855f-42be-a2f8-7a9582c7fb86,1.613838,0.000086,0,0.090307,1,0.001037,1.492168
13287c8b-00fa-478f-9710-8f0ba9a36709,1.582537,0.000169,0,0.160642,1,0.001228,1.542277
c20b0fa2-368e-44c4-8053-4fb23bcb19b6,1.610578,0.000076,0,0.160541,1,0.001605,1.559062
