timestamp,batch_id,t1,t2,q1,t3,q2,t4,t5
2025-07-02T08:20:07.848512,6fdad6ba-51af-416b-bb90-b802c63f616c,0.311275,0.000087,0,40.776903,0,0.000234,0.591143
2025-07-02T08:20:07.998799,8928da0d-3226-431d-be96-2bb6a22118a9,0.343224,0.000080,0,40.934113,0,0.289336,0.477549
2025-07-02T08:20:08.170816,e18e1712-4d2f-4f65-8141-8ee8da8e0eaa,0.294191,0.000067,0,41.065977,0,0.472246,0.487717
2025-07-02T08:20:08.337361,fca1b5f5-10b1-4c98-98cb-058a6638a6a6,0.310901,0.000103,0,41.194861,1,0.677454,0.577593
2025-07-02T08:20:08.520115,e81b0a32-de87-485f-9ec4-f2003022440e,0.325158,0.000078,0,41.297686,1,0.757347,0.490745
2025-07-02T08:20:08.993050,f21d5dbb-85dd-45a6-9a7a-058de286d516,0.276869,0.000091,0,41.322845,1,1.050519,0.521826
2025-07-02T08:20:09.554968,37e5abb4-eda2-473a-9786-cf075feb7dbf,0.308425,0.000242,0,40.958968,2,1.266672,0.463640
2025-07-02T08:20:10.032135,2af5f716-364a-4404-92b2-b081d0e025a6,0.332007,0.000443,0,40.788876,2,1.417652,0.455960
2025-07-02T08:20:10.579622,8a49508b-eca9-4803-8733-b62e358bb972,0.311779,0.000078,0,40.558077,3,1.495302,0.480015
2025-07-02T08:20:11.168579,649414a5-6ca7-4384-b4e8-51abf8d48460,0.385617,0.000084,0,40.346213,3,1.678421,0.505029
2025-07-02T08:20:11.852648,ba2c5ce8-dc4f-43eb-be6a-ae996ceb4f05,0.308230,0.000108,0,39.960452,3,1.877963,0.484484
2025-07-02T08:20:12.216672,f4331c18-ad4d-4cc8-8ef9-760ebe04fdad,0.331529,0.000077,0,39.904435,4,2.051832,0.486196
2025-07-02T08:20:12.679333,2a2c5d7e-2724-4a1e-b0ec-0dce33783c6c,0.307889,0.000063,0,39.754009,4,2.043192,0.468488
2025-07-02T08:20:13.322876,a55f7633-0416-4572-b23c-2a14f01dfe50,0.348023,0.000103,0,39.604212,4,2.224745,0.461084
2025-07-02T08:20:13.729778,10da6b8a-6943-431c-b9ef-26422a590f0f,0.338143,0.000111,0,39.484693,4,2.370571,0.507505
2025-07-02T08:20:14.388649,f90f683c-b006-400f-ad0e-c10e2ac9eaac,0.316403,0.000086,0,39.142836,5,2.474183,0.507349
2025-07-02T08:20:14.789009,11bfac3d-8b4f-4fb0-a086-bf4ed1d8a7c0,0.315951,0.000088,0,39.146115,5,2.583608,0.561972
2025-07-02T08:20:15.514064,bf1e018f-97e8-48b6-b922-ebd9b3614fcc,0.349797,0.000080,0,38.822361,5,2.764688,0.491013
2025-07-02T08:20:15.918338,441b0e14-4af9-4903-ba5c-b832d30a55df,0.339094,0.000102,0,38.798936,5,2.961488,0.513862
2025-07-02T08:20:16.650808,3d6414b0-92cd-4a80-9f41-0e8b2f975a1c,0.308674,0.000083,0,38.363584,6,3.175126,0.492436
